"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Bryan LaHair","Mariners (AAA)","26","121","457","510","132","76","28","2","26","72","85","45","3","116","3","4","1","18","0","5",".289","5462"
"Tommy Manzella","Astros (AAA)","26","133","530","580","153","108","31","5","9","68","56","40","2","99","1","2","7","18","12","3",".289","3789"
"Jai Miller","Marlins (AAA)","24","102","343","390","99","57","24","2","16","55","52","38","2","106","3","5","1","4","6","3",".289","5715"
"Scott Thorman","- - -","27","108","399","442","115","77","16","2","20","49","67","24","4","75","11","5","3","11","7","3",".288","2238"
"Reid Gorecki","Braves (AAA)","28","106","371","416","106","64","27","6","9","57","49","34","2","73","5","3","3","6","14","7",".286","4603"
"Kevin Barker","Reds (AAA)","33","101","354","417","101","54","22","3","22","58","69","54","6","80","2","7","0","10","1","1",".285","1019"
"Wes Timmons","Braves (AAA)","30","105","322","413","91","68","20","2","1","62","31","62","0","36","15","5","9","9","12","5",".283","sa201757"
"Argenis Reyes","Mets (AAA)","26","101","379","416","107","81","19","4","3","43","31","29","3","46","2","1","5","9","10","3",".282","3285"
"Reid Brignac","Rays (AAA)","23","96","415","453","117","79","28","2","8","51","44","27","0","69","3","5","3","7","5","5",".282","8380"
"Chris Johnson","Astros (AAA)","24","104","384","412","108","70","20","5","13","48","42","21","1","90","4","3","0","16","2","1",".281","1191"
"Brandon Jones","Braves (AAA)","25","107","384","443","108","71","28","2","7","50","57","50","3","76","1","7","1","10","6","3",".281","6987"
"Jon Jay","Cardinals (AAA)","24","136","505","564","142","107","23","2","10","72","54","34","3","64","12","5","8","6","20","8",".281","5227"
"Norris Hopper","- - -","30","106","409","453","115","98","14","3","0","49","35","35","1","25","1","3","5","12","23","8",".281","2450"
"Ryan Rohlinger","Giants (AAA)","25","126","474","535","133","78","37","2","16","74","78","42","1","90","12","5","2","9","4","2",".281","2621"
"Christian Colonel","Rockies (AAA)","27","122","391","444","109","83","17","2","7","55","69","39","0","58","5","5","0","14","2","3",".279","sa225671"
"Miguel Negron","White Sox (AAA)","26","103","384","417","107","85","15","3","4","41","38","26","0","62","1","2","4","4","14","13",".279","sa199057"
"Brandon Watson","Diamondbacks (AAA)","27","128","463","513","129","103","16","5","5","72","49","29","0","29","2","4","15","8","18","10",".279","2146"
"Mark Saccomanno","Astros (AAA)","29","137","493","539","137","94","23","5","15","67","67","34","0","87","6","5","1","12","5","0",".278","5938"
"Jason Repko","Dodgers (AAA)","28","110","393","433","109","69","20","4","16","70","47","28","0","81","5","5","2","4","24","7",".277","2628"
"Shelley Duncan","Yankees (AAA)","29","123","452","527","125","64","30","1","30","85","99","64","2","94","6","5","0","3","2","0",".277","3620"
"Brad Coon","Angels (AAA)","26","119","442","522","122","100","15","3","4","78","36","62","1","75","5","3","10","3","23","8",".276","sa291705"
"Jason Dubois","- - -","30","121","377","427","104","63","23","1","17","48","62","36","3","111","12","2","0","9","2","1",".276","1941"
"Brian Bixler","Pirates (AAA)","26","108","403","451","111","71","23","8","9","71","43","35","0","128","7","1","5","4","13","3",".275","8055"
"David Newhan","Phillies (AAA)","35","108","356","401","98","68","21","3","6","42","48","33","1","73","3","8","1","2","4","2",".275","2009"
"Danny Dorn","Reds (AAA)","24","112","357","396","98","62","21","1","14","45","47","30","1","78","5","3","1","11","2","1",".275","1050"
"Jeff Clement","- - -","25","119","470","540","129","70","35","3","21","81","90","55","2","108","6","5","0","12","2","1",".274","4652"
"Aaron Mathews","Blue Jays (AAA)","27","132","518","567","142","108","21","5","8","67","77","37","0","49","2","6","4","18","4","2",".274","sa253756"
"Matt Joyce","Rays (AAA)","24","111","417","493","114","61","35","2","16","73","66","67","3","98","3","6","0","5","14","5",".273","3353"
