"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Michael McKennon","Reds (A)","23","100","357","388","88","54","20","5","9","37","34","15","2","82","8","5","3","1","3","4",".246","sa328245"
"Karexon Sanchez","Indians (A)","20","116","414","479","102","63","22","5","12","71","60","38","1","118","11","5","11","6","12","8",".246","sa392360"
"Moises Sierra","Blue Jays (A)","19","130","451","489","111","81","16","5","9","50","39","26","0","114","8","3","1","14","12","11",".246","6050"
"Derrick Walker","Diamondbacks (A)","22","113","391","462","96","61","22","4","9","61","48","44","1","108","23","4","0","8","7","3",".246","sa328194"
"Shane Keough","Athletics (A)","21","104","340","375","83","71","7","3","2","43","26","29","2","103","2","1","3","7","3","8",".244","sa326099"
"Alex Liddi","Mariners (A)","19","125","447","496","109","73","26","4","6","65","53","42","3","115","4","2","1","9","17","5",".244","5411"
"Jason Taylor","Royals (A)","20","127","433","533","105","67","17","4","17","79","58","81","4","97","11","5","3","8","40","14",".242","sa326519"
"Keanon Simon","Pirates (A)","23","97","343","381","83","62","16","2","3","47","36","30","1","72","4","1","3","7","14","5",".242","sa388988"
"Jeffrey Hehr","Indians (A)","22","106","366","401","88","59","25","1","3","50","41","23","2","73","5","5","2","5","4","2",".240","sa390245"
"Jeremy Moore","Angels (A)","21","96","362","389","87","47","11","12","17","47","48","21","0","125","2","2","2","1","28","10",".240","7307"
"Joseph Dunigan","Mariners (A)","22","119","437","480","105","57","31","3","14","58","58","30","0","142","8","3","1","5","28","4",".240","sa389233"
"Audy Ciriaco","Tigers (A)","21","107","417","444","100","76","12","5","7","47","50","16","1","68","2","4","5","19","12","6",".240","sa294300"
"Sean Coughlin","Diamondbacks (A)","23","103","363","437","87","48","24","0","15","50","81","56","3","73","6","12","0","7","0","0",".240","sa390594"
"Jonathan Greene","Rangers (A)","22","128","451","536","108","60","25","2","21","71","84","43","2","134","36","6","0","11","6","2",".239","sa389860"
"Cole Miles","Braves (A)","21","118","443","492","106","91","9","5","1","58","15","35","0","74","1","0","13","4","28","8",".239","sa326096"
"Justin Reed","Reds (A)","20","118","410","460","98","67","14","6","11","64","36","38","0","137","5","1","6","2","18","9",".239","sa326703"
"Jay Brossman","Angels (A)","23","127","465","525","111","61","36","2","12","67","61","41","0","106","12","6","1","6","16","8",".239","sa390229"
"Adron Chambers","Cardinals (A)","21","95","336","384","80","57","13","7","3","56","25","33","0","66","10","3","2","2","13","8",".238","7995"
"Freddy Galvis","Phillies (A)","18","127","458","523","109","93","12","1","3","59","42","39","0","58","4","6","16","11","14","7",".238","6609"
"Justin Jackson","Blue Jays (A)","19","121","454","528","108","69","26","6","7","74","47","62","0","154","8","0","4","8","17","8",".238","sa389926"
"Felix Carrasco","Padres (A)","21","117","388","450","92","60","16","0","16","56","64","59","3","162","1","1","1","9","1","1",".237","sa328840"
"Russell Dixon","Astros (A)","22","118","405","467","96","70","20","3","3","42","33","48","2","120","7","4","3","9","15","4",".237","sa389797"
"Maximo Mendez","Mariners (A)","21","109","393","447","93","69","14","5","5","52","28","42","0","142","5","0","7","6","25","7",".237","sa392884"
"Shawn O'Malley","Rays (A)","20","91","334","389","79","62","14","3","0","48","23","34","0","77","11","2","8","4","28","14",".237","9629"
"Carmen Angelini","Yankees (A)","19","134","474","524","112","93","14","1","4","64","46","42","0","99","4","3","1","14","17","6",".236","sa390643"
"Mark Thompson","Indians (A)","23","121","416","484","98","70","20","3","5","63","46","37","0","77","17","4","10","8","19","4",".236","sa388400"
"Ron Bourquin","Tigers (A)","23","118","409","485","96","70","22","1","3","49","46","66","1","93","2","7","1","15","6","6",".235","sa326524"
"Helder Velazquez","Rockies (A)","19","117","448","474","105","65","29","2","9","57","49","15","0","94","5","1","5","8","12","13",".234","sa326728"
"Michael Durant","Phillies (A)","21","106","385","450","90","48","23","2","17","56","67","52","1","130","7","6","0","9","5","1",".234","sa294377"
"Juan Diaz","Mariners (A)","19","122","451","497","105","82","16","4","3","38","45","28","1","86","1","8","9","8","6","5",".233","9235"
