"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Kyle Roller","Yankees (AA)","25","510","10.4 %","28.0 %","0.37",".253",".347",".427",".774",".174","1.8",".333","-0.1","70","9.7",".353","116","sa503716"
"Jesus Aguilar","Indians (AA)","23","567","9.9 %","18.9 %","0.52",".275",".349",".427",".776",".152","1.4",".316","-0.6","78","10.6",".352","116","11342"
"James Ramsey","Cardinals (AA)","23","416","12.7 %","26.0 %","0.49",".251",".356",".424",".780",".173","5.1",".316","-0.2","58","11.1",".351","123","sa599239"
"Josh Rodriguez","Mets (AA)","28","522","13.4 %","18.0 %","0.74",".272",".371",".390",".761",".118","4.3",".329","-0.4","71","9.3",".351","115","5716"
"James Jones","Mariners (AA)","24","405","9.9 %","17.8 %","0.56",".275",".347",".419",".766",".143","7.3",".330","1.8","53","9.9",".351","123","9767"
"Brian Goodwin","Nationals (AA)","22","533","12.4 %","22.7 %","0.55",".252",".355",".407",".762",".155","7.1",".321","-0.9","72","9.4",".351","115","12858"
"Ryan Schimpf","Blue Jays (AA)","25","529","14.9 %","26.1 %","0.57",".210",".338",".428",".766",".217","3.8",".248","-0.8","72","9.0",".350","114","9953"
"Cameron Seitzer","Rays (AA)","23","579","14.0 %","16.9 %","0.83",".268",".380",".360",".740",".092","2.1",".324","-0.9","75","13.6",".350","122","sa578022"
"Adam Duvall","Giants (AA)","24","430","8.1 %","16.7 %","0.49",".252",".320",".465",".785",".213","4.8",".268","-0.1","58","7.1",".349","114","10950"
"Matt Fields","Royals (AA)","27","524","11.5 %","34.5 %","0.33",".222",".324",".469",".794",".247","3.5",".288","-1.3","73","13.1",".349","122","sa289014"
"Brock Kjeldgaard","Brewers (AA)","27","526","12.5 %","28.7 %","0.44",".222",".333",".417",".750",".195","2.2",".273","-0.5","68","11.9",".349","121","sa326252"
"Brett Eibner","Royals (AA)","24","504","10.5 %","29.6 %","0.36",".243",".330",".451",".781",".209","6.4",".319","0.0","69","11.6",".347","120","11369"
"Reynaldo Rodriguez","Twins (AA)","26","469","9.4 %","23.0 %","0.41",".231",".305",".482",".787",".251","5.4",".256","-0.7","62","6.4",".346","112","sa329131"
"Taylor Lindsey","Angels (AA)","21","567","8.5 %","16.0 %","0.53",".274",".339",".441",".780",".167","4.2",".303","-1.0","77","12.5",".346","119","sa548170"
