"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Ryan Goleski","Indians (AA)","25","128","471","537","121","90","18","4","9","50","73","51","1","101","6","8","1","11","9","9",".257","sa225958"
"Thomas Collaro","White Sox (AA)","24","109","436","471","112","65","26","2","19","55","67","27","1","129","5","3","0","4","7","3",".257","sa202677"
"Matt Joyce","Tigers (AA)","22","130","456","514","117","64","33","3","17","61","70","51","1","127","3","3","1","7","4","6",".257","3353"
"Lou Palmisano","Brewers (AA)","24","103","351","421","90","56","22","1","11","49","63","57","3","80","8","5","0","11","8","2",".256","sa225655"
"Francisco Caraballo","Astros (AA)","23","124","390","427","100","59","27","1","13","45","57","27","1","110","5","3","2","6","5","2",".256","sa244082"
"Ryan Bear","Marlins (AA)","26","112","357","402","91","63","18","0","10","47","50","34","0","82","6","3","2","1","3","1",".255","sa226050"
"Frank Diaz","Nationals (AA)","23","115","416","452","106","70","20","2","14","55","56","26","1","68","3","5","2","11","9","3",".255","sa200361"
"Brian Snyder","Athletics (AA)","25","111","370","453","94","54","31","1","8","63","48","75","0","100","2","4","2","14","1","1",".254","sa226241"
"Sean Rodriguez","Angels (AA)","22","136","508","587","129","79","31","2","17","84","73","54","0","132","19","4","2","5","15","8",".254","6589"
"Onil Joseph","Royals (AA)","25","105","347","378","88","69","12","4","3","39","30","20","0","73","2","2","7","7","11","12",".254","sa201755"
"Iggy Suarez","Red Sox (AA)","26","105","352","393","89","66","17","2","4","53","33","36","0","89","2","1","2","8","7","1",".253","sa225961"
"Ray Sadler","Astros (AA)","26","138","491","561","124","73","25","2","24","72","93","53","3","120","8","8","1","16","13","9",".253","2914"
"Cody Ehlers","Yankees (AA)","25","106","385","448","97","58","31","0","8","39","53","59","2","74","1","3","0","13","0","1",".252","sa253957"
"Caleb Stewart","Mets (AA)","25","125","433","481","109","78","14","1","16","63","69","36","1","102","6","6","0","4","4","7",".252","sa253923"
"Drew Macias","Padres (AA)","24","100","331","391","83","55","15","5","8","43","50","51","3","53","5","4","0","6","5","8",".251","5451"
"Mike Carp","Mets (AA)","21","97","359","412","90","63","16","0","11","55","48","39","1","75","10","4","0","13","2","1",".251","7480"
"Rodney Choy Foo","Indians (AA)","25","111","367","444","92","61","15","4","12","46","46","67","7","80","3","6","1","8","13","4",".251","sa200099"
"Sergio Santos","Blue Jays (AA)","23","113","432","483","108","52","34","2","20","63","62","43","1","97","6","2","0","12","2","0",".250","4734"
"Drew M. Anderson","Reds (AA)","24","128","516","580","129","79","31","8","11","76","57","50","1","121","1","3","10","4","11","6",".250","sa253942"
"Gabriel Lopez","Yankees (AA)","27","124","409","464","102","79","21","1","1","39","47","37","1","53","7","6","5","9","3","3",".249","sa201918"
"Matt Carson","Yankees (AA)","25","129","471","521","117","74","24","3","16","72","76","33","0","109","9","6","2","13","9","0",".248","4748"
"John Raglani","Dodgers (AA)","24","136","456","545","113","63","24","5","21","76","68","85","3","139","3","0","1","6","9","7",".248","sa254351"
"Matt Esquivel","Braves (AA)","24","98","372","426","92","55","16","2","19","66","70","46","0","97","3","5","0","14","15","2",".247","sa201726"
"Issmael Salas","Cubs (AA)","24","110","344","387","85","58","19","0","8","46","53","27","0","36","5","3","8","12","2","2",".247","sa201344"
"Nick Hundley","Padres (AA)","23","101","373","422","92","48","23","1","20","55","72","42","0","74","2","3","2","7","0","2",".247","3376"
"Cory Keylor","Red Sox (AA)","27","111","398","451","98","59","24","6","9","53","47","41","1","109","5","6","1","12","7","3",".246","sa200174"
"Cesar Nicolas","Diamondbacks (AA)","25","109","310","383","76","49","18","0","9","53","52","47","0","78","16","6","3","9","2","7",".245","sa283192"
"Prentice Redman","Mariners (AA)","27","93","343","406","84","52","16","3","13","44","49","48","2","77","8","5","2","4","4","4",".245","1811"
"Dustin Majewski","Blue Jays (AA)","25","130","466","548","114","67","30","3","14","61","59","75","2","108","3","1","3","7","1","4",".245","sa226256"
"Paul Janish","Reds (AA)","24","88","324","391","79","55","21","2","1","46","20","50","0","54","9","3","5","5","10","3",".244","7412"
