Name,PA,BB%,K%,AVG,OBP,SLG,OPS
T.J. White,447.000,9.600,11.000,0.266,0.359,0.371,0.730
Tanner English,443.000,10.800,19.600,0.265,0.359,0.406,0.764
Tanner Murphy,382.000,9.900,23.800,0.193,0.277,0.312,0.589
Tanner Rahier,453.031,4.975,19.741,0.230,0.276,0.339,0.614
Tarrence Patterson,428.000,6.500,17.500,0.257,0.317,0.306,0.623
Tate Matheny,454.000,6.200,22.900,0.277,0.324,0.382,0.706
Taylor Ard,475.000,9.500,13.300,0.240,0.320,0.357,0.677
Taylor Brennan,528.000,16.500,24.800,0.241,0.366,0.411,0.778
Taylor Featherston,444.000,11.900,19.600,0.299,0.393,0.495,0.887
Taylor Green,460.000,11.100,14.100,0.327,0.406,0.516,0.922
Taylor Grote,470.000,10.200,29.600,0.232,0.311,0.313,0.624
Taylor Gushue,395.000,6.300,20.000,0.231,0.288,0.342,0.629
Taylor Harbin,589.000,4.400,13.200,0.276,0.314,0.414,0.728
Taylor Murphy,485.000,13.600,20.200,0.258,0.364,0.369,0.732
Taylor Snyder,377.000,4.200,28.100,0.229,0.275,0.390,0.665
Taylor Trammell,571.000,12.400,21.500,0.281,0.368,0.450,0.819
Teoscar Hernandez,565.000,7.300,23.900,0.271,0.328,0.435,0.763
Terrance Blunt,452.000,10.800,13.900,0.271,0.355,0.354,0.709
Terrance Gore,541.000,11.500,22.200,0.215,0.334,0.242,0.576
Thomas Coyle,552.000,16.500,14.100,0.278,0.399,0.405,0.805
Thomas Hickman,398.000,12.300,25.900,0.231,0.338,0.429,0.767
Thomas Milone,526.000,7.400,17.700,0.248,0.315,0.324,0.639
Thomas Neal,498.000,9.600,20.700,0.276,0.359,0.444,0.803
Ti'Quan Forbes,467.000,5.400,22.700,0.251,0.308,0.335,0.642
Tim Battle,401.000,6.200,23.700,0.265,0.325,0.373,0.698
Tim Beckham,537.000,6.300,21.600,0.275,0.328,0.389,0.717
Tim Ferguson,416.000,8.400,12.000,0.283,0.346,0.392,0.738
Tim Morris,381.000,8.900,22.800,0.252,0.331,0.356,0.687
