Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Mitch Walding,442.647,10.544,26.859,0.230,0.316,0.327,0.643,0.000
Mitchell Gunsolus,418.404,14.208,28.582,0.214,0.335,0.318,0.654,0.000
Mitchell Tolman,524.000,13.500,13.000,0.265,0.370,0.371,0.741,0.000
Moises Sierra,489.000,5.300,23.300,0.246,0.297,0.364,0.661,0.000
Mychal Givens,388.000,10.100,12.600,0.243,0.330,0.306,0.635,0.000
Mylz Jones,552.000,4.000,19.200,0.270,0.306,0.380,0.686,0.000
Myrio Richard,406.000,9.400,14.300,0.281,0.359,0.384,0.743,0.000
Narciso Crook,402.000,3.700,25.600,0.236,0.270,0.383,0.653,0.000
Nash Knight,376.000,13.600,17.000,0.261,0.366,0.355,0.722,0.000
Natanael Delgado,438.000,4.300,23.700,0.241,0.276,0.355,0.631,0.000
Nate Freiman,594.000,9.800,19.700,0.294,0.369,0.457,0.826,0.000
Nate Hanson,411.000,7.500,15.800,0.253,0.322,0.353,0.675,0.000
Nate Recknagel,399.000,12.300,18.300,0.280,0.379,0.482,0.862,0.000
Nate Samson,561.000,7.100,8.700,0.293,0.365,0.356,0.721,0.000
Nate Tenbrink,527.000,8.900,19.700,0.282,0.357,0.431,0.788,0.000
Nathan Lukes,393.000,9.400,15.300,0.301,0.375,0.453,0.829,0.000
Ned Yost IV,378.000,8.700,23.000,0.287,0.355,0.441,0.796,0.000
Neil Walton,472.000,6.100,25.800,0.190,0.253,0.246,0.499,0.000
Nellie Rodriguez,550.000,10.900,25.800,0.268,0.349,0.482,0.832,0.000
Nelson Molina,382.000,9.900,13.900,0.300,0.374,0.381,0.755,0.000
Nelson Perez,458.000,4.600,28.400,0.251,0.288,0.391,0.679,0.000
Nevin Ashley,490.000,10.000,18.800,0.280,0.354,0.431,0.785,0.000
Nicholas Moresi,440.000,8.900,25.200,0.235,0.320,0.393,0.713,0.000
Nicholas Schwaner,449.000,5.100,18.900,0.229,0.272,0.357,0.629,0.000
Nick Banks,483.000,6.400,18.600,0.252,0.303,0.373,0.676,0.000
Nick Bartolone,402.000,6.200,17.400,0.219,0.272,0.264,0.537,0.000
Nick Buss,452.000,4.600,16.600,0.260,0.298,0.392,0.689,0.000
Nick Castellanos,562.000,8.000,23.100,0.312,0.367,0.436,0.803,0.000
