Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
Kevin Mattison,539.000,8.200,26.900,0.300,0.241,0.310,0.394,0.704
Kevin Melillo,424.235,11.420,19.140,0.626,0.265,0.349,0.448,0.798
Kevin Pillar,434.000,4.800,11.100,0.440,0.323,0.359,0.509,0.868
Kevin Reese,513.000,10.500,14.400,0.730,0.249,0.338,0.365,0.703
Kevin Russo,445.530,7.857,18.008,0.475,0.274,0.333,0.365,0.698
Kevin Thompson,416.000,10.600,15.100,0.700,0.265,0.345,0.428,0.773
Kevin Witt,542.000,9.200,24.400,0.380,0.291,0.360,0.577,0.937
Kila Ka'aihue,464.772,18.201,17.297,1.082,0.278,0.410,0.484,0.893
Koby Clemens,444.000,11.500,26.400,0.440,0.234,0.331,0.424,0.756
Kole Calhoun,463.000,9.500,19.000,0.500,0.298,0.369,0.507,0.877
Kolten Wong,463.000,8.900,13.000,0.680,0.303,0.369,0.466,0.835
Kory Casto,488.525,10.006,19.608,0.515,0.259,0.334,0.381,0.715
Koyie Hill,412.000,9.700,18.700,0.520,0.275,0.350,0.492,0.841
Kristopher Negron,441.147,5.823,21.178,0.280,0.256,0.313,0.413,0.726
Kyle Hudson,462.000,9.300,16.000,0.580,0.264,0.335,0.286,0.621
Kyle Jensen,526.546,7.828,27.183,0.291,0.270,0.333,0.505,0.838
Kyle Kubitza,496.073,12.055,25.109,0.480,0.243,0.338,0.388,0.726
Kyle Parker,542.000,6.100,18.800,0.320,0.289,0.336,0.450,0.786
Kyle Roller,470.053,11.626,27.907,0.417,0.256,0.357,0.440,0.797
Kyle Wren,540.000,10.000,14.300,0.700,0.286,0.364,0.401,0.766
L.J. Hoes,434.094,11.746,13.528,0.872,0.280,0.368,0.378,0.746
Larry Broadway,469.019,11.696,21.980,0.536,0.269,0.355,0.435,0.790
Lars Anderson,508.465,12.522,22.280,0.569,0.259,0.355,0.416,0.771
Lastings Milledge,505.000,8.500,12.500,0.680,0.295,0.364,0.441,0.805
