Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Cesar Hernandez,440.000,9.300,18.400,0.309,0.375,0.402,0.776,1.000
Chad Huffman,494.866,11.190,20.651,0.262,0.355,0.433,0.789,0.000
Chad Pinder,465.000,5.400,23.200,0.258,0.310,0.425,0.735,0.000
Chad Tracy,554.916,8.059,19.654,0.264,0.332,0.456,0.788,0.000
Chance Sisco,388.000,8.200,25.500,0.267,0.340,0.395,0.736,0.000
Charles Thomas,434.000,8.800,17.700,0.274,0.350,0.376,0.726,0.000
Charlie Culberson,467.772,4.100,18.138,0.284,0.316,0.467,0.784,0.000
Charlie Tilson,395.000,8.400,12.900,0.282,0.345,0.407,0.753,0.000
Charlton Jimerson,501.000,4.600,36.500,0.247,0.287,0.445,0.732,0.000
Chase d'Arnaud,421.572,7.861,20.764,0.251,0.319,0.370,0.690,0.000
Che-Hsuan Lin,439.082,11.619,13.762,0.241,0.339,0.313,0.651,0.000
Cheslor Cuthbert,438.000,8.400,13.700,0.277,0.339,0.421,0.759,0.000
Chesny Young,475.000,6.900,14.700,0.256,0.311,0.311,0.622,0.000
Chin-lung Hu,544.000,4.600,9.900,0.294,0.332,0.393,0.725,0.000
Chip Ambres,504.000,14.100,21.200,0.274,0.379,0.475,0.854,0.000
Choo Freeman,459.000,11.100,20.000,0.270,0.355,0.395,0.750,0.000
Chris Barnwell,440.000,8.600,13.600,0.300,0.375,0.389,0.764,0.000
Chris Basak,417.000,9.400,18.200,0.267,0.345,0.407,0.752,0.000
Chris Carter,554.536,10.472,15.569,0.294,0.371,0.500,0.871,1.000
Chris Carter,554.536,10.472,15.569,0.294,0.371,0.500,0.871,0.000
Chris Davis,445.000,8.300,23.600,0.327,0.383,0.520,0.903,1.000
Chris Dickerson,415.002,12.749,28.058,0.273,0.372,0.457,0.829,1.000
Chris Dominguez,512.969,4.394,24.870,0.284,0.320,0.462,0.782,0.000
Chris Frey,451.000,4.900,11.800,0.290,0.323,0.394,0.717,0.000
Chris Getz,457.000,9.000,11.600,0.302,0.366,0.448,0.814,0.000
Chris Johnson,412.000,5.100,21.800,0.281,0.323,0.461,0.784,0.000
Chris Lubanski,420.771,9.322,26.685,0.266,0.332,0.491,0.823,0.000
Chris Marrero,517.242,9.098,16.175,0.286,0.351,0.451,0.803,0.000
Chris McGuiness,464.018,14.173,17.057,0.256,0.363,0.417,0.780,0.000
Chris Owings,575.000,3.800,17.200,0.330,0.359,0.482,0.841,0.000
Chris Pettit,415.000,7.500,14.900,0.321,0.383,0.482,0.865,0.000
Chris Roberson,509.000,6.100,11.200,0.266,0.313,0.350,0.663,0.000
Chris Shelton,594.000,14.000,23.700,0.269,0.381,0.420,0.801,0.000
Chris Taylor,396.000,12.600,15.400,0.300,0.391,0.429,0.820,1.000
Chris Valaika,436.775,4.274,16.326,0.268,0.303,0.370,0.673,0.000
Chris Young,466.000,11.200,15.200,0.276,0.363,0.532,0.896,1.000
Christian Colon,501.008,7.341,8.935,0.288,0.347,0.401,0.748,1.000
