Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
Ryan Howard,142.000,77.000,27.000,35.714,84.286,117.000,70.143,13.714,177.286,1.714,0.254
Ryan Ludwick,132.250,81.000,27.500,22.250,71.500,88.500,50.500,2.500,124.250,2.250,0.263
Ryan Roberts,120.000,74.000,25.000,19.000,86.000,65.000,66.000,2.000,98.000,18.000,0.249
Ryan Sweeney,142.000,102.000,31.000,6.000,68.000,53.000,40.000,1.000,67.000,6.000,0.293
Ryan Theriot,162.500,135.000,21.000,3.250,79.500,41.500,53.500,1.500,68.750,22.750,0.282
Ryan Zimmerman,165.167,100.667,34.500,28.167,93.500,94.000,60.500,4.833,119.500,3.667,0.288
Ryon Healy,156.000,102.000,29.000,25.000,66.000,78.000,23.000,0.000,142.000,0.000,0.271
Salvador Perez,140.000,93.500,26.500,18.250,53.500,70.750,19.500,2.750,87.250,0.500,0.265
Scooter Gennett,131.000,86.000,30.000,14.000,58.000,56.000,38.000,1.000,114.000,8.000,0.263
Scott Podsednik,161.500,129.000,19.500,6.500,69.000,49.500,39.500,1.000,78.500,32.500,0.300
Scott Rolen,139.500,87.000,35.000,15.500,71.000,75.000,47.500,2.000,72.000,3.000,0.295
Scott Schebler,110.000,53.000,25.000,30.000,63.000,67.000,39.000,5.000,125.000,5.000,0.233
Seth Smith,126.500,74.500,31.500,13.500,61.000,53.500,57.500,5.000,90.000,5.500,0.275
Shane Victorino,152.143,101.286,28.571,13.857,87.857,58.857,46.857,1.571,71.286,30.143,0.279
Shannon Stewart,167.000,132.000,22.000,12.000,79.000,48.000,47.000,0.000,60.000,11.000,0.290
Shin-Soo Choo,153.714,100.857,31.000,19.429,87.286,71.000,79.571,3.714,137.714,14.714,0.278
Skip Schumaker,150.000,117.333,24.667,5.667,79.333,41.000,47.333,2.000,64.333,5.000,0.290
Starlin Castro,163.857,116.714,30.714,11.857,64.857,61.857,30.000,3.571,100.714,11.286,0.280
Starling Marte,151.250,102.500,29.750,13.250,77.750,54.500,27.000,2.500,124.000,37.000,0.292
Stephen Drew,150.750,92.500,33.500,15.000,76.250,63.250,53.000,5.000,101.000,6.750,0.267
Stephen Piscotty,159.000,99.000,35.000,22.000,86.000,85.000,51.000,0.000,133.000,7.000,0.273
Stephen Vogt,119.500,75.500,25.500,16.000,56.000,63.500,45.500,4.500,90.000,0.000,0.256
Steven Souza Jr.,125.000,72.000,21.000,30.000,78.000,78.000,84.000,2.000,179.000,16.000,0.239
Tadahito Iguchi,124.000,84.000,27.000,9.000,67.000,43.000,57.000,1.000,88.000,14.000,0.267
Tim Anderson,151.000,104.000,26.000,17.000,72.000,56.000,13.000,0.000,162.000,15.000,0.257
Tim Beckham,148.000,103.000,18.000,22.000,67.000,62.000,36.000,0.000,167.000,6.000,0.278
Todd Frazier,135.800,77.800,26.800,30.000,79.200,83.200,58.600,1.800,137.800,11.600,0.240
Todd Helton,177.500,119.000,40.000,16.000,82.500,88.500,102.500,10.500,73.500,0.000,0.323
Tommy Joseph,119.000,69.000,27.000,22.000,51.000,69.000,33.000,1.000,129.000,1.000,0.240
Tommy Pham,136.000,89.000,22.000,23.000,95.000,73.000,71.000,0.000,117.000,25.000,0.306
Tony Pena,136.000,102.000,25.000,2.000,58.000,47.000,10.000,0.000,78.000,5.000,0.267
Torii Hunter,156.222,102.111,31.556,21.000,79.778,87.444,42.444,3.333,108.000,9.667,0.283
Travis Hafner,145.000,94.000,25.000,24.000,80.000,100.000,102.000,17.000,115.000,1.000,0.266
Travis Shaw,131.500,72.500,34.000,23.500,73.500,86.000,51.500,5.000,135.500,7.500,0.258
Trevor Plouffe,131.667,80.333,32.333,16.667,62.333,72.667,45.667,1.000,115.000,2.000,0.252
Trevor Story,120.000,61.000,32.000,24.000,68.000,82.000,49.000,4.000,191.000,7.000,0.239
Trey Mancini,159.000,105.000,26.000,24.000,65.000,78.000,33.000,1.000,139.000,1.000,0.293
Troy Glaus,147.000,86.000,33.000,27.000,69.000,99.000,87.000,3.000,104.000,0.000,0.270
Troy Tulowitzki,149.714,92.714,28.714,25.571,82.571,88.857,53.571,4.857,99.857,7.143,0.293
Ty Wigginton,148.000,94.500,31.000,22.000,67.000,71.500,45.500,1.500,114.500,1.500,0.263
Vernon Wells,144.500,86.250,33.000,21.750,77.000,75.000,41.750,2.750,86.250,10.500,0.249
Victor Martinez,172.000,116.143,33.714,21.857,75.143,96.571,56.714,10.286,63.857,0.857,0.309
Vladimir Guerrero,172.750,114.000,33.250,24.000,79.250,98.500,43.500,13.000,63.750,3.250,0.304
Whit Merrifield,169.000,112.000,32.000,19.000,80.000,78.000,29.000,0.000,88.000,34.000,0.288
Wil Myers,146.500,85.000,29.000,29.000,89.500,84.000,69.000,2.000,170.000,24.000,0.251
Will Venable,129.000,77.000,22.000,22.000,64.000,53.000,29.000,4.000,118.000,22.000,0.268
Willy Taveras,120.000,102.000,15.000,1.000,64.000,26.000,36.000,0.000,79.000,68.000,0.251
Wilmer Flores,127.000,89.000,22.000,16.000,55.000,59.000,19.000,2.000,63.000,0.000,0.263
Wilson Ramos,128.500,89.500,20.500,18.500,49.500,74.000,28.000,2.000,90.000,0.000,0.268
Xander Bogaerts,168.250,120.750,32.250,12.500,88.250,69.500,46.250,2.000,119.500,10.000,0.282
Xavier Nady,169.000,106.000,37.000,25.000,76.000,97.000,39.000,2.000,103.000,2.000,0.305
Yadier Molina,145.125,103.875,29.250,11.250,52.125,67.250,37.375,3.500,55.000,6.375,0.293
Yan Gomes,135.000,86.000,25.000,21.000,61.000,74.000,24.000,3.000,120.000,0.000,0.278
Yangervis Solarte,127.667,87.667,24.333,14.000,56.000,58.333,41.333,1.667,58.333,1.333,0.262
Yasiel Puig,148.000,90.000,30.500,22.000,82.000,71.500,65.500,5.500,112.000,13.000,0.280
Yasmany Tomas,144.000,82.000,30.000,31.000,72.000,83.000,31.000,4.000,136.000,2.000,0.272
Yoenis Cespedes,148.600,87.000,29.800,27.400,81.200,90.600,39.800,5.200,123.200,8.000,0.273
Yolmer Sanchez,129.000,90.000,19.000,12.000,63.000,59.000,35.000,2.000,111.000,8.000,0.267
Yonder Alonso,130.667,84.333,31.667,14.667,57.000,61.667,58.333,5.333,97.667,2.667,0.264
Yulieski Gurriel,158.000,96.000,43.000,18.000,69.000,75.000,22.000,1.000,62.000,3.000,0.299
Yunel Escobar,144.556,111.000,23.667,8.667,65.778,51.111,50.333,1.667,65.667,3.111,0.280
Yuniesky Betancourt,142.000,98.600,30.000,10.200,57.800,62.600,18.400,1.400,52.200,3.600,0.265
Zack Cozart,128.200,83.200,26.600,14.200,68.200,49.800,36.200,1.600,91.200,3.600,0.254
