,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
177,Efren Navarro,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,Elian Herrera,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,Elliot Johnson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180,Emilio Bonifacio,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
181,Emmanuel Burriss,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
182,Eric Bruntlett,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
183,Eric Campbell,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0
184,Eric Munson,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
185,Eric Patterson,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
186,Eric Sogard,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
187,Eric Thames,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
188,Erik Gonzalez,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
189,Erik Kratz,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
190,Esteban German,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
191,Eugenio Velez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
192,Eury Perez,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
193,Ezequiel Carrera,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
194,Felix Pie,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
195,Fernando Perez,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
196,Fernando Tatis,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,Francisco Cervelli,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
198,Franklin Gutierrez,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
