Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Joe Gaetti,446.000,8.500,22.200,0.296,0.369,0.497,0.867,0.000
Joe Jackson,453.000,6.200,19.400,0.269,0.323,0.375,0.698,0.000
Joe Koshansky,573.000,11.200,23.400,0.284,0.371,0.526,0.897,0.000
Joe Leonard,487.000,9.900,18.100,0.263,0.341,0.392,0.733,0.000
Joe McCarthy,554.000,16.200,17.000,0.284,0.409,0.434,0.843,0.000
Joe Panik,599.000,9.700,11.400,0.257,0.333,0.347,0.680,1.000
Joe Sever,468.834,6.019,20.553,0.267,0.317,0.360,0.677,0.000
Joel Guzman,505.050,7.957,19.467,0.280,0.347,0.488,0.835,0.000
Joey Butler,573.000,8.200,20.900,0.277,0.340,0.409,0.749,1.000
Joey DeMichele,532.636,7.990,22.738,0.240,0.305,0.352,0.657,0.000
Joey Meneses,401.000,9.500,20.200,0.292,0.360,0.403,0.763,0.000
Joey Terdoslavich,459.000,13.100,15.500,0.246,0.349,0.419,0.767,0.000
Joey Votto,590.000,13.200,18.500,0.319,0.408,0.547,0.956,1.000
Johan Camargo,491.000,4.900,16.700,0.267,0.304,0.379,0.683,1.000
Johan Limonta,493.225,10.014,18.215,0.299,0.374,0.474,0.847,0.000
Johermyn Chavez,510.000,9.600,24.300,0.216,0.312,0.360,0.672,0.000
John Bowker,587.000,7.000,17.500,0.307,0.363,0.523,0.886,0.000
John Drennen,486.000,6.800,11.500,0.300,0.355,0.434,0.789,0.000
John Jaso,450.000,13.100,10.900,0.316,0.408,0.484,0.893,1.000
John Matulia,524.000,6.500,22.700,0.269,0.324,0.408,0.732,0.000
John Norwood,539.000,10.900,24.900,0.285,0.367,0.459,0.826,0.000
John Raglani,479.077,13.859,24.381,0.246,0.357,0.435,0.791,0.000
John Raynor,534.000,11.600,22.800,0.312,0.402,0.489,0.890,0.000
John Shelby,460.576,6.751,20.797,0.247,0.302,0.416,0.718,0.000
John Tolisano,450.327,11.272,20.595,0.237,0.325,0.412,0.737,0.000
John Whittleman,464.125,16.283,24.273,0.222,0.351,0.391,0.742,0.000
Johnny Davis,553.000,6.500,21.500,0.263,0.316,0.341,0.656,0.000
Johnny Field,491.000,7.300,22.200,0.255,0.329,0.447,0.776,0.000
Johnny Giavotella,597.000,10.200,11.200,0.322,0.395,0.460,0.855,0.000
Johnny Monell,441.000,10.900,21.100,0.249,0.334,0.394,0.728,0.000
Johnny Raburn,382.000,12.300,12.300,0.295,0.387,0.373,0.760,0.000
Jon Berti,594.000,5.900,13.800,0.270,0.323,0.373,0.696,0.000
Jon Gaston,485.834,7.661,21.954,0.241,0.305,0.381,0.686,0.000
Jon Griffin,396.000,7.800,28.000,0.218,0.293,0.385,0.678,0.000
Jon Jay,427.000,9.100,10.800,0.306,0.379,0.457,0.836,1.000
Jon Kemmer,425.000,10.600,20.900,0.327,0.414,0.574,0.988,0.000
Jon Singleton,528.934,18.507,24.927,0.247,0.387,0.450,0.836,0.000
Jon Still,565.000,7.800,26.200,0.233,0.301,0.416,0.718,0.000
